Note,Frequency
C0,16.3515978313
C#0,17.3239144361
D0,18.3540479948
D#0,19.4454364826
E0,20.6017223071
F0,21.8267644646
F#0,23.1246514195
G0,24.4997147489
G#0,25.9565435987
A0,27.5
A#0,29.1352350949
B0,30.8677063285
C1,32.7031956626
C#1,34.6478288721
D1,36.7080959897
D#1,38.8908729653
E1,41.2034446141
F1,43.6535289291
F#1,46.249302839
G1,48.9994294977
G#1,51.9130871975
A1,55
A#1,58.2704701898
B1,61.735412657
C2,65.4063913251
C#2,69.2956577442
D2,73.4161919794
D#2,77.7817459305
E2,82.4068892282
F2,87.3070578583
F#2,92.4986056779
G2,97.9988589954
G#2,103.826174395
A2,110
A#2,116.5409403795
B2,123.470825314
C3,130.8127826503
C#3,138.5913154884
D3,146.8323839587
D#3,155.563491861
E3,164.8137784564
F3,174.6141157165
F#3,184.9972113558
G3,195.9977179909
G#3,207.65234879
A3,220
A#3,233.081880759
B3,246.9416506281
C4,261.6255653006
C#4,277.1826309769
D4,293.6647679174
D#4,311.1269837221
E4,329.6275569129
F4,349.228231433
F#4,369.9944227116
G4,391.9954359818
G#4,415.3046975799
A4,440
A#4,466.1637615181
B4,493.8833012561
C5,523.2511306012
C#5,554.3652619537
D5,587.3295358348
D#5,622.2539674442
E5,659.2551138257
F5,698.456462866
F#5,739.9888454233
G5,783.9908719635
G#5,830.6093951599
A5,880
A#5,932.3275230362
B5,987.7666025122
C6,1046.5022612024
C#6,1108.7305239075
D6,1174.6590716696
D#6,1244.5079348883
E6,1318.5102276515
F6,1396.912925732
F#6,1479.9776908465
G6,1567.981743927
G#6,1661.2187903198
A6,1760
A#6,1864.6550460724
B6,1975.5332050245
C7,2093.0045224048
C#7,2217.461047815
D7,2349.3181433393
D#7,2489.0158697767
E7,2637.020455303
F7,2793.825851464
F#7,2959.9553816931
G7,3135.963487854
G#7,3322.4375806396
A7,3520
A#7,3729.3100921447
B7,3951.066410049
C8,4186.0090448096
C#8,4434.92209563
D8,4698.6362866785
D#8,4978.0317395533
E8,5274.0409106059
F8,5587.6517029281
F#8,5919.9107633862
G8,6271.926975708
G#8,6644.8751612791
A8,7040
A#8,7458.6201842895
B8,7902.132820098
